PLU;Nombre;Ventas_Total
"182";"PIZZA VEGETARIANA 630 GRS APROX";"27"
"6945";"PIZZA CUATRO QUESOS 620 GRS APROX";"17"
"180";"PIZZA SALAME PEPPERONI 630 GRS APROX";"36"
"13490";"PIZZA CAMARON QUESO 660 GRS APROX";"56"
"80098";"PACK 6 LECHE CHOCOLATE ORIGEN COLUN 220ML";"21"
"80094";"PACK 6 LECHE FRUTILLA COLUN 220ML";"17"
"80065";"PACK X 6 LECHE COOKIES SOPROLE 220ML";"1"
"80022";"PACK 6 LECHE VAINILLA COLUN 220ML";"7"
"80033";"PACK 6 LECHE CHOC COLUN S/LACTOSA 200ML ";"7"
"6944";"PIZZA HAWAIANA 615 GRS APROX";"22"
"6947";"PASTA LASAÑA DE SALMON Y ESPINACA 2 PORCIONES 800 GRS APROX";"17"
"30380";"POSTRE ARROZ CON LECHE 230 GRS APROX";"8"
"30381";"POSTRE PANNA COTTA CON COCO Y MANGO 190 GRS APROX";"13"
"30435";"POSTRE PANNA COTTA CON FRAMBUESA 190 GRS APROX";"26"
"30419";"POSTRE SEMOLA CON SALSA DE MARACUYA 190 GRS APROX";"23"
"6996";"PLATO CHILENO PASTEL DE CHOCLO 2 PORCIONES 800 GRS APROX";"27"
"30412";"PASTA LASAÑA BOLOÑESA HALOPACK 400 GRS APROX";"34"
"30394";"SANDWICH PAN DE CERVEZA JAMON SERRANO 240 GRS APROX";"12"
"30422";"HAMBURGUESA PAN DE CERVEZA 370 GRS APROX";"41"
"6974";"PLATO INTER. ALBONDIGAS ATOMATADAS CON POLENTA CREMOSA 350 GRS APROX";"12"
"30438";"SANDWICH PAN DE CERVEZA SALMON AHUMADO EN FRIO 240 GRS APROX";"21"
"30414";"PLATO CHILENO PASTEL DE CHOCLO HALOPACK 400 GRS APROX";"19"
"30372";"PLATO INTER. POLLO CON SALSA DE CHAMPIÑONES Y PURE 350 GRS APROX";"33"
"30704";"PLATO INTER. AJI DE GALLINA CON ARROZ 360 GRS APROX";"33"
"30395";"PLATO CHILENO CARNE MECHADA CON PAST. DE CHOCLO 360 GRS APROX";"47"
"30186";"TORTA PINA 19 CM";"7"
"917";"PAN HAMBURGUESA FABR PROPIA";"157.583"
"94156";"POSTRE PIE MARACUYA 145 APROX ";"14"
"90123";"POSTRE PAI LIMON 145 GR APROX";"16"
"22021";"POSTRE PIE FRAMBUESA 145 GR APRO";"15"
"30371";"PLATO INTER. POLLO CON SALSA CUATRO QUESOS Y PAPAS ASADAS 350 GRS APROX";"26"
"22136";"KUCHEN DE ARANDANO";"32"
"7902";"PASTA LASAÑA VEGETARIANA 2 PORCIONES 800 GRS APROX";"10"
"22115";"PASTEL FIESTA VALDIVIANA IND.";"18"
"22085";"KUCHEN DE FRAMBUESA";"165"
"22050";"PIE DE LIMON ENTERO pst";"89"
"6946";"PASTA LASAÑA BOLOÑESA 2 PORCIONES 800 GRS APROX";"36"
"22041";"MENDOCINOS pst";"205"
"30434";"GOHAN SALMON 450 GRS APROX";"262"
"30488";"GOHAN CAMARON 450 GRS APROX";"245"
"30480";"GOHAN CHAMPIÑON 450 GRS APROX";"67"
"30428";"GOHAN POLLO TERIYAKI 450 GRS APROX";"718"
"30486";"GOHAN ACEVICHADO 450 GRS APROX";"250"
"928";"PAN ITALIANO KG";"1690.1119999999996"
"22258";"PASTEL FLOR DE LOTO IND.";"30"
"104";"PAN TOSCANO";"288.254"
"94159";"TORTA WHISKY ";"2"
"30300";"TORTA FLOR DE LOTO 19 CM";"5"
"22102";"TORTA  ONCOL  19 CM";"27"
"71240";"TORTA CELESTIAL VASO";"27"
"71239";"TORTA BAILEYS OTOÑAL VASO";"17"
"6949";"TORTA TIRAMISU VASO";"40"
"60598";"VASO SELVA NEGRA";"13"
"22072";"TORTA FIESTA VALDIVIANA 19 CM";"13"
"22006";"BRAZO DE REINA";"52"
"408";"PAN CIABATTA RUSTICO GRANEL";"1023.1459999999997"
"30465";"STRUDEL ALEMAN";"11"
"9654";"TORTA CELESTIAL M ";"20"
"22153";"TORTA BELZEBOO";"1"
"30445";"CHEESECAKE FRAMBUESA";"15"
"22056";"TARTALETA DE FRUTAS";"18"
"60594";"TORTA CALUGA M";"24"
"60612";"PIE RELLENO DE MARACUYA";"25"
"22126";"BRAZO DE REINA CHOCOLATE GRANILLO";"53"
"30447";"CHEESECAKE MARACUYA";"8"
"778433576";"PAN DE PASCUA TEJAFOOD";"18"
"22129";"PIE DE FRAMBUESA";"56"
"60532";"TORTA ZANAHORIA M";"10"
"65099";"KUCHEN FRUTOS DEL BOSQUE TEJA MARKET";"85"
"22248";"KUCHEN DE NUEZ";"43"
"30409";"QUEQUE ARTESANAL TEJA FOOD";"11"
"800007547";"SIX PACK LEMON STONES SANDÍA LATA 350 CC";"9"
"90";"GALLETON AVENA ZANAHORIA ";"31"
"60614";"TARTA MANZANA MURTA";"23"
"16038";"PAN MOLDE INTEGRAL SEMILLAS";"223"
"916";"MIX DE TARTAS ";"21"
"30490";"POSTRE VASO MIX DE FRUTA 300 GRS APROX";"107"
"23017";"POLLO ASADO ENTERO KG";"518.954"
"6995";"SANDWICH PITA SALMON AHUMADO";"136"
"6952";"SANDWICH MIGA AVE PIMIENTO";"72"
"18";"TUTO LARGO DE POLLO KG AUTOSERV";"1"
"7606";"CARNE MOLIDA NAC TEJA FOOD KG";"224.97699999999998"
"20";"CHULETA CENTRO KG AUTOSERV";"0.612"
"50087";"POLLO ASADO CON PAPAS FRITAS";"59"
"87";"TARTALETA PASTA FLORA";"20"
"30443";"CHEESECAKE INDIVIDUAL";"88"
"117";"KUCHEN MIGA RELLENO";"46"
"22055";"TARTALETA DE FRUTA INDIVIDUAL";"74"
"30563";"CHEESECAKE DE MURTA";"5"
"30387";"PASTA FLORA INDIVIDUAL";"138"
"22167";"TORTA SELVA VALDIVIANA";"18"
"30297";"TORTA PINO HUACHO ";"18"
"22240";"TORTA PANQUEQUE CHOC , MANJAR , NUEZ ";"6"
"22241";"PASTEL FRAMBUESA IND";"2"
"30476";"BIENENSTICH (KUCHEN DE NUEZ RECETA ALEMANA)";"8"
"21214";"PIE DE FRAMBUESA IND.";"172"
"7770";"TORTA CELESTIAL ";"15"
"22076";"TRUFA MANJAR";"654"
"30301";"BROWNIE MANT MANI CHOC BLANCO";"44"
"60605";"QUEQUE INGLES RED";"7"
"540";"PAN HAMBURGUESA  ENVASADO 430 GRS APROX";"121.256"
"89890";"BROWNIE MANJAR";"85"
"523";"PAN DOBLADITA ENVASADO 310GRAS APROX";"19"
"345";"QUEQUE CHIPS DE CHOCOLATE 500 GRS APROX";"31"
"334";"QUEQUE NARANJA 500 GRS. APROX";"31"
"7609";"CARNE BISTEC NACTEJA FOOD (ASIENTO)";"141.9"
"7600";"CARNE TARTARO TEJA FOOD NAC KG";"270.282"
"935";"ESCALOPA POSTA NEGRA KG";"75.66399999999999"
"30716";"PAN CHILOTE TEJA MARKET";"242.02199999999993"
"7607";"CARNE CUBO NAC TEJA FOOD (POSTA ROSADA)";"76.01299999999999"
"7759";"CARNE PARA HAMBURGUESA NAC";"39.485"
"95953";"BROWNIE FRAMBUESA CHOCOLATE";"63"
"30455";"QUEQUE BROWNIE 600 GRS.";"44"
"304";"QUEQUE PLATANO";"29"
"551";"PIE DE MARACUYA IND.";"64"
"7610";"CARNE A LA JULIANA NAC TEJA FOOD";"63.01"
"60600";"QUEQUE DE FRAMBUESA";"22"
"355";"OSOBUCO PIERNA VACUNO AUTOSS";"63.73400000000001"
"8587";"ALBONDIGA TEJA FOOD (P. ROSADA)";"21.880000000000003"
"6999";"CARNE MOLIDA 10% GRASA";"493.074"
"796";"LOMO DE CERDO EN MEDALLONES";"32.055"
"9983";"PAN FUGAZZA TOSCANO";"37"
"9984";"PAN FUGAZZA CEBOLLA";"68"
"2011";"CAFE MARLEY MEDIANO ";"89"
"2012";"CAFE MARLEY GRANDE";"76"
"2010";"CAFE MARLEY ESPRESSO";"6"
"800006848";"SIX PACK CERVEZA LATA LEMON ST BERRIES 350 CC";"14"
"80808";"POSTRE VASO DE FRUTILLAS CON YOGURT 250 GRS APROX";"82"
"71236";"POSTRE TRILOGÍA DE SÉMOLA CON LECHE 320 GRS APROX";"12"
"30690";"POSTRE VASO DE PIÑA 250 GRS APROX";"76"
"920";"PAN BAGUETTE INTEGRAL ";"57"
"335";"QUEQUE NUEZ 500 GRS APROX";"29"
"22051";"PIE DE LIMON INDIVIDUAL";"190"
"22112";"PASTEL  SELVA VALDIVIANA IND.";"38"
"22246";"PASTEL PINO HUACHO IND.";"25"
"800006090";"PACK X6 NECTAR ANDINA MULTI FRUTILLA 200CC";"4"
"800005959";"SIX PACK CERVEZA CORONA CERO 330 ML";"18"
"800005471";"PACK X4 CERV KUNSTMANN VALDIVIA 473 CC LATA";"349"
"8852";"QUESO ROBLE TZ";"43.068"
"800004898";"SIX PACK LEMON STONE MANGO LATA 350CC";"14"
"800004852";"PACK X4 CERVEZA KUNSTMANN TOROBAYO LATA 470CC";"254"
"8812";"QUESO RIO CRUCES TZ";"114.262"
"8802";"QUESO LAS PARCELAS TZ";"84.65400000000001"
"16013";"PAN MOLDE BLANCO ";"59"
"800004391";"SIX PACK LEMON STONES MARACUYA LATA 350 CC";"25"
"800001219";"PACK X6 CERVEZA ROYAL LATA 470 CC";"22"
"800003289";"PACK X6 CERVEZA STELLA ARTOIS 473 CC";"27"
"800003202";"PACK 4 UNDS CERVEZA KROSS 5 ANOS 330 CC";"1"
"800003041";"PACK CERV. CUSQUENA LATA GOLD 473ML X6";"45"
"800003004";"PACK X6 CERV BUDWEISER 473CC LATA";"70"
"800002863";"PACK X 10 CHOCOLATE KINDER MAXI 21GR";"23"
"5469";"PACK X6 NECTAR ANDINA PINA 200CC";"2"
"800002464";"PACK X6 NECTAR ANDINA MANZANA 200CC";"6"
"5464";"PACK X6 NECTAR ANDINA NARANJA 200CC";"7"
"5433";"PACK X6 NECTAR ANDINA DURAZNO 200CC";"3"
"164";"PAN INTEGRAL pnd";"250.38100000000006"
"60568";"PAN PITA INTEGRAL";"333.9200000000001"
"800001072";"PACK X6 CERVEZA COORS LATA 470CC";"14"
"800001040";"PACK X6 CERVEZA HEINEKEN 470CC LATA";"66"
"914";"PAN COPIHUE FABR PROPIA";"391.18899999999996"
"922";"PAN BAGUETTE FABR PROPIA";"223"
"16037";"PAN PITA";"375.9560000000001"
"800000262";"PACK CORONA 330 ML X 6 UNDS";"25"
"700045";"CERVEZA COORS 1873 X 6 355CC";"18"
"778431988";"PACK CERVEZA KUNSTMANN IPA 330 CCX4";"2"
"4952";"PACK 4 UNDS KROSS MAIBOCK 330CC";"12"
"778431916";"PACK X 4 CERVEZA KUNSTMANN 330CC MIEL ";"4"
"778433253";"PACK X6 CERVEZA QUILMES LATA 473CC";"81"
"778432547";"PACK CERVEZA HEINEKEN S/ALCOHOL 6X330CC";"32"
"4955";"PACK 4 UND KROSS PILSNER 330CC";"3"
"4893";"PACK BOT CRISTAL CERO X 6 UNDS 355 ML";"17"
