PLU;Nombre;Ventas_Total
"30297";"TORTA PINO HUACHO ";"22"
"22240";"TORTA PANQUEQUE CHOC , MANJAR , NUEZ ";"10"
"22241";"PASTEL FRAMBUESA IND";"6"
"30476";"BIENENSTICH (KUCHEN DE NUEZ RECETA ALEMANA)";"10"
"21214";"PIE DE FRAMBUESA IND.";"199"
"7770";"TORTA CELESTIAL ";"17"
"22076";"TRUFA MANJAR";"858"
"30301";"BROWNIE MANT MANI CHOC BLANCO";"44"
"60605";"QUEQUE INGLES RED";"7"
"540";"PAN HAMBURGUESA  ENVASADO 430 GRS APROX";"128.256"
"89890";"BROWNIE MANJAR";"93"
"523";"PAN DOBLADITA ENVASADO 310GRAS APROX";"19"
"345";"QUEQUE CHIPS DE CHOCOLATE 500 GRS APROX";"40"
"334";"QUEQUE NARANJA 500 GRS. APROX";"37"
"7609";"CARNE BISTEC NACTEJA FOOD (ASIENTO)";"160.835"
"7600";"CARNE TARTARO TEJA FOOD NAC KG";"303.055"
"935";"ESCALOPA POSTA NEGRA KG";"84.67399999999999"
"30716";"PAN CHILOTE TEJA MARKET";"280.42299999999994"
"7607";"CARNE CUBO NAC TEJA FOOD (POSTA ROSADA)";"82.72999999999999"
"7759";"CARNE PARA HAMBURGUESA NAC";"47.005"
"95953";"BROWNIE FRAMBUESA CHOCOLATE";"64"
"30455";"QUEQUE BROWNIE 600 GRS.";"48"
"304";"QUEQUE PLATANO";"37"
"551";"PIE DE MARACUYA IND.";"65"
"7610";"CARNE A LA JULIANA NAC TEJA FOOD";"66.83"
"60600";"QUEQUE DE FRAMBUESA";"31"
"355";"OSOBUCO PIERNA VACUNO AUTOSS";"73.432"
"8587";"ALBONDIGA TEJA FOOD (P. ROSADA)";"25.585000000000004"
"6999";"CARNE MOLIDA 10% GRASA";"571.164"
"796";"LOMO DE CERDO EN MEDALLONES";"33.015"
"9983";"PAN FUGAZZA TOSCANO";"43"
"9984";"PAN FUGAZZA CEBOLLA";"86"
"2011";"CAFE MARLEY MEDIANO ";"113"
"2012";"CAFE MARLEY GRANDE";"88"
"2010";"CAFE MARLEY ESPRESSO";"8"
"800006848";"SIX PACK CERVEZA LATA LEMON ST BERRIES 350 CC";"17"
"80808";"POSTRE VASO DE FRUTILLAS CON YOGURT 250 GRS APROX";"101"
"71236";"POSTRE TRILOGÍA DE SÉMOLA CON LECHE 320 GRS APROX";"14"
"30690";"POSTRE VASO DE PIÑA 250 GRS APROX";"76"
"920";"PAN BAGUETTE INTEGRAL ";"71"
